fung,AI,isolate,code,DPI,trt,rate_ppm,rep,length_mm,width_mm
Omega,Fluazinam,GD-16-1,SB1,7,2,10,2,16.95,16.44
Omega,Fluazinam,GD-16-1,SB1,7,2,10,3,0,0
Omega,Fluazinam,GD-16-1,SB1,7,2,100,1,0,0
Omega,Fluazinam,GD-16-1,SB1,7,2,100,2,0,0
Omega,Fluazinam,GD-16-1,SB1,7,2,100,3,0,0
Omega,Fluazinam,GD-16-1,SB1,7,2,500,1,0,0
Omega,Fluazinam,GD-16-1,SB1,7,2,500,2,0,0
Omega,Fluazinam,GD-16-1,SB1,7,2,500,3,0,0
Omega,Fluazinam,GD-16-1,SB1,7,2,1000,1,0,0
Omega,Fluazinam,GD-16-1,SB1,7,2,1000,2,0,0
Omega,Fluazinam,GD-16-1,SB1,7,2,1000,3,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,2,0,1,84,84
Omega,Fluazinam,LrwHC-1,SB15,7,2,0,2,84,84
Omega,Fluazinam,LrwHC-1,SB15,7,2,0,3,84,84
Omega,Fluazinam,LrwHC-1,SB15,7,2,0.01,1,84,84
Omega,Fluazinam,LrwHC-1,SB15,7,2,0.01,2,84,84
Omega,Fluazinam,LrwHC-1,SB15,7,2,0.01,3,84,84
Omega,Fluazinam,LrwHC-1,SB15,7,2,0.1,1,75.04,73.61
Omega,Fluazinam,LrwHC-1,SB15,7,2,0.1,2,77.3,73.57
Omega,Fluazinam,LrwHC-1,SB15,7,2,0.1,3,74.82,74.73
Omega,Fluazinam,LrwHC-1,SB15,7,2,1,1,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,2,1,2,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,2,1,3,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,2,10,1,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,2,10,2,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,2,10,3,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,2,100,1,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,2,100,2,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,2,100,3,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,2,500,1,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,2,500,2,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,2,500,3,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,2,1000,1,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,2,1000,2,0,0
Omega,Fluazinam,LrwHC-1,SB15,7,2,1000,3,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,0,1,84,84
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,0,2,84,84
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,0,3,84,84
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,0.01,1,73.16,73.35
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,0.01,2,79.33,78.64
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,0.01,3,79.99,81.65
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,0.1,1,59.19,58.63
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,0.1,2,61.68,58.68
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,0.1,3,59.93,53.39
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,1,1,21.98,22.86
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,1,2,28.8,25.36
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,1,3,22.65,23.37
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,10,1,11.89,14.19
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,10,2,20.23,13.15
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,10,3,17.1,13.12
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,100,1,7.6,7.04
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,100,2,6.99,6.29
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,100,3,5.63,6
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,500,1,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,500,2,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,500,3,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,1000,1,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,1000,2,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,2,1000,3,0,0
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,0,1,84,84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,0,2,84,84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,0,3,84,84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,0.01,1,69.53,80.51
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,0.01,2,76.92,78.61
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,0.01,3,80.73,82.4
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,0.1,1,67.42,60.28
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,0.1,2,64.93,62.03
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,0.1,3,57.97,50.49
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,1,1,29.04,32
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,1,2,32.17,28.42
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,1,3,27.58,24.49
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,10,1,20.45,16.74
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,10,2,18.72,19.2
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,10,3,15.71,16.18
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,100,1,13.06,11.14
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,100,2,8.75,7.22
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,100,3,12.09,9.21
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,500,1,0,0
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,500,2,0,0
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,500,3,0,0
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,1000,1,0,0
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,1000,2,0,0
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,2,1000,3,0,0
