Fung.,A.I.,Isolate,Code,Date Plated,Date Measured,DPI,Rate (ppm),Rep,Length (mm),Width (mm)
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,1,3,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,10,1,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,10,2,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,10,3,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,100,1,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,100,2,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,100,3,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,500,1,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,500,2,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,500,3,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,1000,1,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,1000,2,84,84
Topsin-M + Chl,Thiophanate-methyl,GD-16-1,SB1,2023-07-14,2023-07-21,7,1000,3,84,84
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,0,1,84,84
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,0,2,84,84
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,0,3,84,84
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,0.01,1,84,84
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,0.01,2,84,84
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,0.01,3,84,84
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,0.1,1,84,84
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,0.1,2,80.52,81.8
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,0.1,3,81.75,82.82
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,1,1,81.6,84
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,1,2,84,84
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,1,3,81.64,80.97
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,10,1,58.04,56.9
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,10,2,76.56,63.24
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,10,3,60.93,56.72
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,100,1,30.45,25.72
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,100,2,37.76,35.69
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,100,3,26.48,20.18
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,500,1,8.46,10.27
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,500,2,21.36,14.2
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,500,3,11.73,13.7
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,1000,1,10.16,9.73
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,1000,2,5.54,5.76
Topsin-M + Chl,Thiophanate-methyl,Gla18-38,SB11,2023-07-14,2023-07-21,7,1000,3,8.54,7.71
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,0,1,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,0,2,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,0,3,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,0.01,1,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,0.01,2,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,0.01,3,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,0.1,1,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,0.1,2,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,0.1,3,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,1,1,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,1,2,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,1,3,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,10,1,76.96,79.44
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,10,2,78.74,79.56
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,10,3,80.11,80
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,100,1,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,100,2,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,100,3,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,500,1,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,500,2,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,500,3,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,1000,1,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,1000,2,84,84
Topsin-M + Chl,Thiophanate-methyl,LrwHC-1,SB15,2023-07-14,2023-07-21,7,1000,3,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,0,1,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,0,2,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,0,3,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,0.01,1,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,0.01,2,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,0.01,3,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,0.1,1,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,0.1,2,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,0.1,3,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,1,1,27.14,17.92
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,1,2,21.54,23.87
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,1,3,26.9,25.64
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,10,1,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,10,2,5.24,4.98
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,10,3,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,100,1,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,100,2,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,100,3,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,500,1,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,500,2,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,500,3,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,1000,1,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,1000,2,0,0
Inspire,Difenoconazole ,GD-16-1,SB1,2023-07-24,2023-07-31,7,1000,3,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,0,1,46.84,49.16
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,0,2,68.01,69.47
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,0,3,32.6,31.21
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,0.01,1,11.29,10.33
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,0.01,2,13.13,12.68
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,0.01,3,11.95,11.2
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,0.1,1,5.49,4.25
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,0.1,2,4.17,4.49
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,0.1,3,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,1,1,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,1,2,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,1,3,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,10,1,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,10,2,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,10,3,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,100,1,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,100,2,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,100,3,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,500,1,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,500,2,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,500,3,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,1000,1,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,1000,2,0,0
Inspire,Difenoconazole ,Gla18-38,SB11,2023-07-24,2023-07-31,7,1000,3,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,0,1,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,0,2,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,0,3,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,0.01,1,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,0.01,2,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,0.01,3,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,0.1,1,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,0.1,2,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,0.1,3,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,1,1,41.77,34.79
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,1,2,38.35,38.65
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,1,3,27.02,24.73
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,10,1,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,10,2,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,10,3,5.49,4.43
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,100,1,19.51,15.62
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,100,2,23.39,22.07
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,100,3,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,500,1,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,500,2,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,500,3,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,1000,1,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,1000,2,0,0
Inspire,Difenoconazole ,LrwHC-1,SB15,2023-07-24,2023-07-31,7,1000,3,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,0,1,84,84
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,0,2,84,84
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,0,3,84,84
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,0.01,1,83.93,82.32
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,0.01,2,79.03,80.93
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,0.01,3,84,84
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,0.1,1,67.49,72.97
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,0.1,2,76.78,75.03
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,0.1,3,73.91,72.24
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,1,1,19.83,19.24
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,1,2,11.55,10.34
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,1,3,15.57,13.35
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,10,1,8.1,6.6
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,10,2,10.84,6.19
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,10,3,7.17,7.82
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,100,1,5.51,5.8
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,100,2,6.27,5.62
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,100,3,5.67,5.87
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,500,1,,
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,500,2,,
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,500,3,,
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,1000,1,,
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,1000,2,,
Aprovia,Benzovindiflupyr,GD-16-1,SB1,2023-07-27,2023-08-03,7,1000,3,,
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,0,1,74.85,75.46
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,0,2,82.51,79.41
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,0,3,83.78,83.08
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,0.01,1,10.51,10.83
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,0.01,2,9.16,10.07
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,0.01,3,10.31,13.35
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,0.1,1,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,0.1,2,14.03,12.86
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,0.1,3,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,1,1,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,1,2,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,1,3,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,10,1,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,10,2,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,10,3,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,100,1,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,100,2,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,100,3,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,500,1,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,500,2,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,500,3,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,1000,1,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,1000,2,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,2023-07-27,2023-08-03,7,1000,3,0,0
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,0,1,84,84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,0,2,84,84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,0,3,75.81,72.48
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,0.01,1,80.43,74.07
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,0.01,2,71.52,64.13
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,0.01,3,80.52,79.49
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,0.1,1,53.34,49.29
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,0.1,2,55.95,56.2
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,0.1,3,56.76,48.55
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,1,1,15.47,15.87
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,1,2,13.23,12.42
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,1,3,14.17,14.14
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,10,1,10.87,9.72
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,10,2,8.22,7.62
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,10,3,10.71,10.75
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,100,1,,
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,100,2,6.86,5.84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,100,3,5.41,5.91
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,500,1,10.47,6.89
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,500,2,8.3,7.32
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,500,3,9.77,7.24
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,1000,1,10.22,8.43
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,1000,2,9.51,9.35
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,2023-07-27,2023-08-03,7,1000,3,6.26,6.62
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,0,1,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,0,2,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,0,3,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,0.01,1,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,0.01,2,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,0.01,3,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,0.1,1,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,0.1,2,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,0.1,3,82.01,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,1,1,64.72,66.58
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,1,2,60.26,58.04
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,1,3,49.54,49.46
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,10,1,42.61,40.76
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,10,2,35.5,35.16
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,10,3,35.83,35.76
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,100,1,23.25,23.35
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,100,2,23.46,23.27
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,100,3,22.12,24.52
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,500,1,23.88,23.22
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,500,2,20.67,19.07
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,500,3,21.48,20.24
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,1000,1,21.28,20.91
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,1000,2,16.1,13.66
Cabrio,Pyraclostrobin,GD-16-1,SB1,2023-08-04,2023-08-11,7,1000,3,6.82,7.95
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,0,1,84,84
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,0,2,84,84
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,0,3,80.97,84
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,0.01,1,71.72,67.86
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,0.01,2,65.78,64.52
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,0.01,3,65.75,68.36
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,0.1,1,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,0.1,2,49.63,45.46
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,0.1,3,61.89,57.52
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,1,1,13.03,11.89
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,1,2,10.32,10.39
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,1,3,8.31,7.28
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,10,1,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,10,2,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,10,3,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,100,1,7.57,8.86
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,100,2,8.11,7.8
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,100,3,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,500,1,14.86,13.51
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,500,2,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,500,3,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,1000,1,11.28,8.97
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,1000,2,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,2023-08-04,2023-08-11,7,1000,3,0,0
Cabrio,Pyraclostrobin,LrwHC-1,SB15,2023-08-04,2023-08-11,7,0,1,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,2023-08-04,2023-08-11,7,0,2,84,84
